IBGE_6,IBGE_7,Município_Join,latitude,longitude,valor_vaar_2025,populacao,iqem_indice,Motivo,recebeu_valor,valor_estimado
350925,3509254.0,CAJATI,-24.77198946611262,-48.19498691383894,0.0,285150.0,0.0008285,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020",False,0.0
350930,3509304.0,CAJOBI,-20.873702588926736,-48.83872883641525,0.0,91330.0,0.0002475,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020",False,0.0
350940,3509403.0,CAJURU,-21.27596108697353,-47.31028750470914,0.0,238300.0,0.0005619,"Não cumprimento do disposto no art. 14, § 1º, II e III da Lei nº 14113/2020",False,0.0
350945,3509452.0,CAMPINA DO MONTE ALEGRE,-23.60678046639129,-48.44191044980152,0.0,59540.0,0.0001649,"Não cumprimento do disposto no art. 14, § 1º, I, II e V da Lei nº 14113/2020",False,0.0
350950,3509502.0,CAMPINAS,-22.883754630939976,-47.043850498122055,0.0,11390470.0,0.0198548,"Não cumprimento do disposto no art. 14, § 1º, II, III e V da Lei nº 14113/2020",False,0.0
350960,3509601.0,CAMPO LIMPO PAULISTA,-23.21795158062505,-46.76009281505825,0.0,776320.0,0.0019962,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020",False,0.0
350970,3509700.0,CAMPOS DO JORDÃO,-22.70161979318858,-45.5330238373414,0.0,0.0,0.0,,False,0.0
350980,3509809.0,CAMPOS NOVOS PAULISTA,-22.610893101665766,-50.010210177207135,0.0,48880.0,0.0001587,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020",False,0.0
350990,3509908.0,CANANÉIA,-25.018431479144603,-48.008580898997096,0.0,0.0,0.0,,False,0.0
350995,3509957.0,CANAS,-22.730173391253047,-45.04111899728814,0.0,49310.0,0.0001336,"Não cumprimento do disposto no art. 14, § 1º, I e III da Lei nº 14113/2020",False,0.0
351000,3510005.0,CÂNDIDO MOTA,-22.80862114964183,-50.42170457364727,0.0,0.0,0.0,,False,0.0
351010,3510104.0,CÂNDIDO RODRIGUES,-21.342822589557773,-48.62866166103888,0.0,0.0,0.0,,False,0.0
351015,3510153.0,CANITAR,-23.018821695792536,-49.7919152366654,0.0,62830.0,0.0002272,"Não cumprimento do disposto no art. 14, § 1º, I, II e V da Lei nº 14113/2020",False,0.0
351020,3510203.0,CAPÃO BONITO,-24.039208368179967,-48.28985753695051,0.0,0.0,0.0,,False,0.0
351050,3510500.0,CARAGUATATUBA,-23.63962434351871,-45.48787006079076,0.0,1348730.0,0.0036408,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020",False,0.0
351060,3510609.0,CARAPICUÍBA,-23.55004027228612,-46.84196305013447,0.0,0.0,0.0,,False,0.0
351080,3510807.0,CASA BRANCA,-21.800531783032145,-47.088138314770994,0.0,280830.0,0.0006618,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.,False,0.0
351090,3510906.0,CÁSSIA DOS COQUEIROS,-21.263258585459745,-47.14397407546189,0.0,0.0,0.0,,False,0.0
351120,3511201.0,CATIGUÁ,-21.0628067511996,-49.05275422355262,0.0,0.0,0.0,,False,0.0
351130,3511300.0,CEDRAL,-20.913954584470243,-49.26399518890919,0.0,126180.0,0.0003008,"Não cumprimento do disposto no art. 14, § 1º, II e III da Lei nº 14113/2020",False,0.0
351140,3511409.0,CERQUEIRA CÉSAR,-23.05933089882392,-49.14378375118862,0.0,0.0,0.0,,False,0.0
351150,3511508.0,CERQUILHO,-23.187130119553697,-47.75709652194288,0.0,446950.0,0.0010535,"Não cumprimento do disposto no art. 14, § 1º, I e III da Lei nº 14113/2020",False,0.0
351160,3511607.0,CESÁRIO LANGE,-23.21653102634401,-47.90389707854262,0.0,0.0,0.0,,False,0.0
351190,3511904.0,CLEMENTINA,-21.5703012983037,-50.460080420448655,0.0,69820.0,0.0001829,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020",False,0.0
351200,3512001.0,COLINA,-20.746197915715133,-48.58898396954181,0.0,184860.0,0.0004601,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.,False,0.0
351210,3512100.0,COLÔMBIA,-20.26687847785503,-48.72174568434068,818859.59,0.0,0.0,,True,0.0
351220,3512209.0,CONCHAL,-22.369286446693053,-47.14115985736122,0.0,281010.0,0.0007901,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020",False,0.0
