CODIGO;MUNICIPIO;VA 2024;VA 2023;População;Receita Tributária;Área Cultivada;Área Inundada;Ind. Protegida;Vegetação Nativa;Resíduos Sólidos;Cota Parte Educação;IPM;
772;SAO LOURENCO DA SERRA;115.767.861;123.048.642;16067;9789549;533,90;0,0000000;0,000000;0,0068590;0,0011240;0,0004372;0,0211091;
648;SAO LUIZ DO PARAITINGA;150.658.456;127.384.246;10337;4778912;33870,30;0,0000000;0,659476;0,0000000;0,0012650;0,0002690;0,0250276;
649;SAO MANUEL;1.397.922.537;1.387.727.011;37289;27919182;48089,70;0,0080970;0,029682;0,0003586;0,0015570;0,0009180;0,0823979;
650;SAO MIGUEL ARCANJO;921.481.387;780.499.311;32039;11715149;79986,50;0,0000000;0,495893;0,0000000;0,0015960;0,0009286;0,0667883;
100;SAO PAULO;326.739.806.634;301.846.384.486;11451999;56290179354;2157,60;0,0109630;0,828547;0,0076379;0,0182970;0,2243169;17,4894571;
651;SAO PEDRO;725.711.890;686.911.405;38256;37592606;37682,30;0,0039785;0,393338;0,0048078;0,0015300;0,0009475;0,0615718;
652;SAO PEDRO DO TURVO;532.160.976;523.849.249;7217;3019208;72891,80;0,0000000;0,000000;0,0000000;0,0012510;0,0002013;0,0388329;
653;SAO ROQUE;2.831.954.814;2.561.341.964;79484;123078781;2262,80;0,0000000;0,122608;0,0066840;0,0016620;0,0020093;0,1450835;
654;SAO SEBASTIAO;1.477.299.001;1.430.092.979;81595;415293094;1003,90;0,0000000;2,517483;0,0000000;0,0000000;0,0023278;0,1320138;
655;SAO SEBASTIAO DA GRAMA;328.370.971;246.813.232;10441;5755216;20886,10;0,0000000;0,000000;0,0000000;0,0008800;0,0002340;0,0212272;
656;SAO SIMAO;660.162.734;608.497.729;13442;15558316;42663,20;0,0000000;0,119414;0,0000000;0,0013310;0,0002908;0,0406946;
657;SAO VICENTE;2.699.149.833;2.524.771.830;329911;388813147;49,90;0,0000000;1,025322;0,0000000;0,0028260;0,0078682;0,2327529;
658;SARAPUI;334.837.207;316.434.908;10369;4555011;25524,40;0,0000000;0,000000;0,0000000;0,0013180;0,0002625;0,0239729;
659;SARUTAIA;64.735.191;62.241.283;3704;1312605;11421,80;0,0000000;0,169244;0,0008801;0,0013310;0,0001075;0,0121051;
660;SEBASTIANOPOLIS DO SUL;758.274.751;615.417.591;3130;1498768;13819,80;0,0000000;0,000000;0,0000000;0,0013530;0,0000943;0,0331749;
